DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.09.25,46100,46270,44735,44735,160988,424824,5
2015.09.28,44445,44645,43945,44130,138469,326992,5
2015.09.29,44380,44720,44125,44300,140385,356882,5
2015.09.30,45125,45650,44525,45125,149095,377291,5
2015.10.01,45255,45765,44875,45765,151016,370576,5
2015.10.02,45785,47380,45080,47345,180538,452984,5
2015.10.05,47525,48155,47500,47665,135996,332192,5
2015.10.06,47500,48180,47450,47520,151839,371764,5
2015.10.07,47970,49390,47920,48865,216248,547667,5
2015.10.08,48685,49325,48550,49055,175060,429226,5
2015.10.09,49370,49715,48675,49450,155750,381348,5
2015.10.13,48800,48800,47110,47215,153166,369244,5
2015.10.14,48155,48520,47360,47435,180028,436625,5
2015.10.15,47785,48005,47025,47870,172328,419617,5
2015.10.16,48000,48475,47170,47545,169632,423450,5
2015.10.19,47835,48280,47460,48100,155655,383366,5
2015.10.20,47920,48420,47245,47610,140361,348451,5
2015.10.21,47650,47890,47250,47470,137936,354738,5
2015.10.22,47650,48680,47570,48680,144846,360858,5
2015.10.23,48800,49575,47995,48015,164065,426726,5
2015.10.26,47975,48570,47765,47935,110024,263925,5
2015.10.27,47830,47995,47340,47450,133756,327467,5
2015.10.28,47670,48100,46915,47180,155573,374386,5
2015.10.29,46945,47190,46080,46110,150227,361571,5
2015.10.30,46075,46575,45885,46385,128171,333818,5
2015.11.03,46800,49190,46720,49090,185874,480257,5
2015.11.04,49200,49765,47975,48310,185357,461355,5
2015.11.05,48320,48615,47930,48285,152074,374187,5
2015.11.06,48160,48380,46830,47500,157700,384736,5
2015.11.09,47550,47600,46400,46400,141902,337263,5
2015.11.10,46200,47160,45785,46950,159352,408266,5
2015.11.11,46900,47725,46800,47450,167954,429488,5
2015.11.12,47700,47930,47010,47010,160067,402292,5
2015.11.13,46745,47310,46645,46995,154916,382249,5
2015.11.16,46845,47420,46725,47420,121183,302408,5
2015.11.17,47800,48095,47435,47460,129885,325268,5
2015.11.18,47320,48335,47265,47960,129195,338616,5
2015.11.19,48305,48750,48015,48730,135786,347510,5
2015.11.23,48675,49090,48170,48180,131858,333908,5
2015.11.24,48025,48700,47685,48660,134394,344254,5
2015.11.25,48290,48290,46905,47085,142566,381720,5
2015.11.26,47160,47445,47080,47340,55729,151398,5
2015.11.27,47010,47170,45850,45895,115541,315036,5
2015.11.30,45885,46100,45205,45205,156231,386522,5
2015.12.01,45450,45615,44815,44925,149359,373827,5
2015.12.02,44925,45540,44710,44795,171190,429721,5
2015.12.03,46200,47400,46060,46330,189105,498345,5
2015.12.04,46335,46505,45125,45570,176544,440261,5
2015.12.07,45395,46310,45295,45415,149621,373850,5
2015.12.08,45290,45600,44300,44300,157306,398938,5
2015.12.09,44965,46570,44810,46390,222036,554857,5
2015.12.10,46075,46380,45395,45790,149918,368787,5
2015.12.11,45350,46050,44940,45350,180911,448723,5
2015.12.14,45550,45780,44520,44820,163220,389583,5
2015.12.15,45190,45490,44870,44870,134217,321591,5
2015.12.16,45480,46330,44735,46300,176223,404513,5
2015.12.17,46300,47070,45455,45535,155396,387776,5
2015.12.18,44930,45205,44315,44450,158935,379880,5
2015.12.21,44570,44905,43580,43720,137855,348046,5
